ticket_id,ticket_title,priority,sla_priority_class,issue_type,top_similarity_score,avg_similarity_score_top5,estimated_resolution_hours_nlp,median_resolution_hours_top5,suggested_technician_from_similarity,suggested_issue_type_from_similarity,top_match_ticket_id,top_match_title
T20251220.0004,Laptop battery not holding charge,Low,Service Request,IT:Change,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20251204.0005,File recovery request,Medium,Service Request,IT:Change,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260203.0003,Network printer offline,Low,Low,SW:Defect,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20251208.0001,New employee laptop setup,High,Service Request,SW:Support,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260128.0001,Server room temperature alert,Medium,Medium,IT:Applications,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260114.0001,Monitor flickering on docking station,Medium,Medium,SW:Support,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20251214.0001,Windows update causing BSOD,Medium,Maintenance,IT:Hardware,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20251210.0002,Zoom meeting room setup,Low,Service Request,SW:Internal,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260222.0001,Server room temperature alert,Medium,Medium,SW:Support,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260222.0002,Suspicious phishing email reported,Low,Low,SW:Internal,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20251220.0002,MFA not working on mobile device,High,Service Request,SW:Internal,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20251222.0002,Request for additional monitor,Critical,Service Request,SW:Internal,1.0,1.0,90.3,80.0,"Anderson, Scott",IT:Hardware,T20260218.0007,Request for additional monitor
T20251217.0003,Server room temperature alert,Low,Low,Triage,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20251219.0004,Backup job failed overnight,Critical,Service Request,SW:Internal,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20260113.0004,Zoom meeting room setup,High,Service Request,Triage,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260222.0005,OneDrive sync errors,Medium,Medium,Triage,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20260227.0006,Backup job failed overnight,Medium,Service Request,SW:Defect,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20251209.0005,Outlook not syncing emails,Low,Low,SW:Support,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20260224.0002,Email bouncing back to external clients,Critical,High,IT:Hardware,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20260116.0006,Windows update causing BSOD,High,Maintenance,IT:Applications,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20120530.0002,Flickering Monitor,Medium,Medium,IT:Hardware,0.3388,0.3388,111.1,124.0,"Taylor, Mark",SW:Change,T20251230.0006,Monitor flickering on docking station
T20260207.0002,Email bouncing back to external clients,Medium,Medium,SW:Support,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20251227.0003,File recovery request,Medium,Service Request,SW:Change,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260120.0003,New user account creation,Low,Service Request,SW:Defect,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260209.0001,Suspicious phishing email reported,Critical,High,SW:Internal,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260110.0003,Slow computer performance,High,Service Request,SW:Change,1.0,1.0,172.7,173.0,"Miller, Susan",SW:Change,T20251221.0005,Slow computer performance
T20251215.0003,Wi-Fi connectivity issues in conference room B,Low,Low,IT:Applications,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260214.0002,Outlook not syncing emails,Critical,Service Request,Triage,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20251210.0003,New user account creation,High,Service Request,IT:Change,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260301.0002,Email bouncing back to external clients,Medium,Medium,SW:Support,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20251217.0001,Password reset request,Medium,Service Request,SW:Support,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20251204.0002,MFA not working on mobile device,Medium,Medium,IT:Hardware,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20251221.0004,Shared drive access denied,High,High,SW:Internal,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260114.0003,Request to install project management software,Critical,Service Request,SW:Support,1.0,1.0,60.1,43.5,"Anderson, Scott",IT:Hardware,T20260216.0012,Request to install project management software
T20260113.0003,Network printer offline,Medium,Medium,SW:Defect,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260124.0003,Laptop battery not holding charge,Low,Low,SW:Defect,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20260210.0001,MFA not working on mobile device,Medium,Medium,SW:Defect,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260201.0001,Teams calls have audio echo,Critical,High,Triage,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20260215.0001,Backup job failed overnight,High,High,IT:Hardware,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20260101.0002,OneDrive sync errors,High,High,IT:Applications,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20251226.0003,Wi-Fi connectivity issues in conference room B,Medium,Service Request,SW:Change,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260220.0001,File recovery request,High,Service Request,SW:Defect,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260201.0002,VPN connection drops intermittently,Low,Service Request,SW:Support,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20251221.0003,Email bouncing back to external clients,Critical,High,IT:Hardware,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20260216.0001,Shared drive access denied,High,High,SW:Internal,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20251229.0004,New user account creation,Low,Service Request,SW:Defect,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20251217.0002,File recovery request,Medium,Service Request,SW:Defect,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260209.0005,Email bouncing back to external clients,Low,Service Request,SW:Defect,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20260102.0003,Teams calls have audio echo,Critical,Service Request,IT:Change,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20251231.0003,New employee laptop setup,Critical,Service Request,IT:Change,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260202.0003,Shared drive access denied,Medium,Service Request,SW:Internal,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260301.0001,Suspicious phishing email reported,Critical,High,IT:Hardware,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260221.0003,Monitor flickering on docking station,Medium,Service Request,SW:Defect,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20251230.0001,Request for additional monitor,Low,Service Request,IT:Applications,1.0,1.0,90.3,80.0,"Anderson, Scott",IT:Hardware,T20260218.0007,Request for additional monitor
T20260115.0001,Laptop battery not holding charge,High,Service Request,IT:Change,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20260115.0002,Printer jamming on 2nd floor,Medium,Medium,SW:Support,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20260219.0001,Slow computer performance,High,High,IT:Applications,1.0,1.0,172.7,173.0,"Miller, Susan",SW:Change,T20251221.0005,Slow computer performance
T20260120.0001,Request to install project management software,Medium,Service Request,SW:Defect,1.0,1.0,60.1,43.5,"Anderson, Scott",IT:Hardware,T20260216.0012,Request to install project management software
T20251215.0001,New employee laptop setup,Medium,Service Request,SW:Support,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260102.0001,Software license expired for Adobe Acrobat,Medium,Service Request,SW:Internal,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260203.0001,New employee laptop setup,Medium,Service Request,IT:Hardware,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20251215.0002,Teams calls have audio echo,Medium,Medium,SW:Defect,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20251224.0002,Windows update causing BSOD,Medium,Maintenance,IT:Hardware,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20251204.0003,Teams calls have audio echo,High,Service Request,IT:Hardware,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20251218.0002,Zoom meeting room setup,Low,Service Request,IT:Hardware,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260103.0001,New user account creation,High,Service Request,SW:Internal,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260227.0005,New employee laptop setup,Medium,Service Request,SW:Internal,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260209.0006,Monitor flickering on docking station,Medium,Service Request,IT:Change,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20260218.0005,Windows update causing BSOD,High,Maintenance,SW:Internal,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20260110.0004,MFA not working on mobile device,High,High,SW:Internal,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20251229.0002,Keyboard and mouse not responding,Low,Low,IT:Applications,1.0,1.0,82.7,57.5,"Taylor, Mark",Triage,T20251217.0004,Keyboard and mouse not responding
T20260202.0002,Internet speed slow at branch office,Critical,High,IT:Hardware,1.0,1.0,118.8,105.5,"Miller, Susan",SW:Internal,T20260219.0004,Internet speed slow at branch office
T20251222.0001,New user account creation,Low,Service Request,IT:Change,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260117.0002,Need access to CRM application,Low,Service Request,Triage,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20260215.0002,MFA not working on mobile device,High,Service Request,SW:Defect,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260218.0003,Email bouncing back to external clients,Medium,Medium,SW:Internal,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20260214.0001,Internet speed slow at branch office,Low,Service Request,IT:Change,1.0,1.0,118.8,105.5,"Miller, Susan",SW:Internal,T20260219.0004,Internet speed slow at branch office
T20260107.0001,Need access to CRM application,Medium,Service Request,IT:Change,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20260212.0005,Zoom meeting room setup,Medium,Service Request,IT:Change,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20251206.0001,QuickBooks not launching after update,Medium,Maintenance,SW:Defect,1.0,1.0,77.0,76.0,"Moore, James",IT:Hardware,T20260102.0008,QuickBooks not launching after update
T20260220.0002,File recovery request,High,Service Request,SW:Change,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20251207.0002,Server room temperature alert,Medium,Medium,Triage,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260217.0004,Shared drive access denied,Critical,High,IT:Hardware,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20251213.0003,VPN connection drops intermittently,Critical,Service Request,SW:Support,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20251209.0004,Need access to CRM application,Critical,Service Request,Triage,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20260116.0005,OneDrive sync errors,High,Service Request,SW:Support,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20120602.0001,Ensure that image is being backed up,Medium,Medium,IT:Applications,0.1805,0.1805,132.8,153.5,"Moore, James",SW:Change,T20251209.0007,Email bouncing back to external clients
T20251226.0002,Suspicious phishing email reported,Low,Low,SW:Defect,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260108.0001,Need access to CRM application,High,Service Request,SW:Internal,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20260116.0003,Outlook not syncing emails,High,High,IT:Hardware,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20260218.0002,Network printer offline,Low,Service Request,SW:Change,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260120.0002,VPN connection drops intermittently,Critical,High,SW:Internal,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20260227.0004,Network printer offline,High,Service Request,IT:Change,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260124.0001,Monitor flickering on docking station,Critical,High,Triage,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20260122.0003,Suspicious phishing email reported,High,High,IT:Hardware,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260221.0002,Printer jamming on 2nd floor,Critical,High,SW:Internal,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20260127.0002,Software license expired for Adobe Acrobat,Critical,Service Request,SW:Defect,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260116.0004,Password reset request,Medium,Service Request,Triage,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260212.0004,MFA not working on mobile device,Critical,High,SW:Support,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260223.0004,Network printer offline,Low,Low,Triage,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20120603.0002,Weekly backup is still not working.,High,High,IT:Applications,0.2876,0.2876,119.6,161.5,"Moore, James",IT:Applications,T20260203.0005,Backup job failed overnight
T20120601.0002,Front Desk machine needs rebuilding.,Critical,High,IT:Hardware,0.3392,0.3392,151.1,157.0,"Taylor, Mark",SW:Change,T20251213.0004,Windows update causing BSOD
T20260304.0002,teams display gone,High,Service Request,SW:Internal,0.3241,0.3241,90.9,102.5,"Moore, James",IT:Applications,T20251218.0010,Teams calls have audio echo
T20120604.0006,SQL Job cleanup log files,Medium,Medium,SW:Internal,0.2287,0.2287,172.8,211.0,"Anderson, Scott",IT:Change,T20260101.0016,Backup job failed overnight
T20120604.0005,Server crashed after new software build,Medium,Medium,SW:Internal,0.1657,0.1657,147.9,166.5,"Anderson, Scott",IT:Applications,T20260226.0012,Server room temperature alert
T20120603.0001,Web server crashing after build 24325,Critical,High,SW:Internal,0.2786,0.2786,104.3,103.5,"Taylor, Mark",IT:Change,T20260226.0012,Server room temperature alert
T20120601.0001,Security access change - Firewall,High,Service Request,SW:Change,0.3463,0.3463,156.5,171.0,"Anderson, Scott",SW:Defect,T20251219.0006,Shared drive access denied
